"412","Bridget Jones: The Edge of Reason","$262.5"
"413","Knight & Day","$261.9"
"414","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","$261.6"
"415","Total Recall","$261.3"
"416","Michael Jackson's This Is It","$261.2"
"417","Robots","$260.7"
"418","The Lone Ranger","$260.5"
"419","Super 8","$260.1"
"420","Charlie's Angels: Full Throttle","$259.2"
"421","Rush Hour 3","$258.0"
"422","The Full Monty","$257.9"
"423","The Village","$256.7"
"424","Erin Brockovich","$256.3"
"425","Annabelle","$255.3"
"426","Cliffhanger","$255.0"
"427","Babe","$254.1"
"428","Wild Hogs","$253.6"
"429","High School Musical 3: Senior Year","$252.9"
"430","Hercules","$252.7"
"431","True Grit","$252.3"
"432","Bean","$251.2"
"433","American Hustle","$251.2"
"434","You've Got Mail","$250.8"
"435","Enemy of the State","$250.6"
"436","Brother Bear","$250.4"
"437","The Mask of Zorro","$250.3"
"438","Eragon","$249.5"
"439","The Ring","$249.3"
"440","The Blair Witch Project","$248.6"
"441","Unbreakable","$248.1"
"442","Dumb and Dumber","$247.3"
"443","Grown Ups 2","$247.0"
"444","Love Actually","$246.9"
"445","Rango","$245.7"
"446","Four Weddings and a Funeral","$245.7"
"447","Face/Off","$245.7"
"448","Dark Shadows","$245.5"
"449","Hulk","$245.4"
"450","Bienvenue chez les Ch'tis","$245.1"
"451","The Godfather","$245.1"
"452","Back to the Future Part III","$244.5"
"453","Rush Hour","$244.4"
"454","After Earth","$243.8"
"455","Hercules (2014)","$243.4"
"456","A Few Good Men","$243.2"
"457","Cloudy with a Chance of Meatballs","$243.0"
"458","8 Mile","$242.9"
"459","Marley and Me","$242.7"
"460","RoboCop (2014)","$242.7"
"461","Eraser","$242.3"
"462","Journey to the Center of the Earth","$242.0"
"463","Resident Evil: Retribution","$240.2"
"464","Die Hard 2: Die Harder","$240.0"
"465","The SpongeBob Movie: Sponge Out of Water","$239.7"
"466","Crocodile Dundee II","$239.6"
"467","Batman and Robin","$238.2"
"468","Click","$237.7"
"469","Gulliver's Travels","$237.4"
"470","Gone in 60 Seconds","$237.2"
"471","Saturday Night Fever","$237.1"
